CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Turkey,TUR,20200513,3,2,141475,3894,91.67
Turkey,TUR,20200514,3,2,143114,3952,91.67
Turkey,TUR,20200515,3,2,144749,4007,91.67
Turkey,TUR,20200516,3,2,146457,4055,91.67
Turkey,TUR,20200517,3,2,148067,4096,91.67
Turkey,TUR,20200518,3,2,149435,4140,91.67
Turkey,TUR,20200519,3,2,150593,4171,91.67
Turkey,TUR,20200520,3,2,151615,4199,91.67
Uganda,UGA,20200330,3,2,33,0,96.43
Uganda,UGA,20200331,3,2,33,0,96.43
Uganda,UGA,20200401,3,2,44,0,96.43
Uganda,UGA,20200402,3,2,44,0,96.43
Uganda,UGA,20200403,3,2,45,0,96.43
Uganda,UGA,20200404,3,2,48,0,96.43
Uganda,UGA,20200405,3,2,48,0,96.43
Uganda,UGA,20200406,3,2,52,0,96.43
Uganda,UGA,20200407,3,2,52,0,96.43
Uganda,UGA,20200408,3,2,52,0,96.43
Uganda,UGA,20200409,3,2,53,0,96.43
Uganda,UGA,20200410,3,2,53,0,96.43
Uganda,UGA,20200411,3,2,53,0,96.43
Uganda,UGA,20200412,3,2,53,0,96.43
Uganda,UGA,20200413,3,2,54,0,96.43
Uganda,UGA,20200414,3,2,54,0,96.43
Uganda,UGA,20200415,3,2,55,0,96.43
Uganda,UGA,20200416,3,2,55,0,96.43
Uganda,UGA,20200417,3,2,55,0,96.43
Uganda,UGA,20200418,3,2,55,0,96.43
Uganda,UGA,20200419,3,2,55,0,96.43
Uganda,UGA,20200420,3,2,55,0,96.43
Uganda,UGA,20200421,3,2,56,0,96.43
Uganda,UGA,20200422,3,2,58,0,96.43
Uganda,UGA,20200423,3,2,61,0,96.43
Uganda,UGA,20200424,3,2,74,0,96.43
Uganda,UGA,20200425,3,2,75,0,96.43
Uganda,UGA,20200426,3,2,75,0,96.43
Uganda,UGA,20200427,3,2,79,0,96.43
Uganda,UGA,20200428,3,2,79,0,96.43
Uganda,UGA,20200429,3,2,79,0,96.43
Uganda,UGA,20200430,3,2,81,0,96.43
Uganda,UGA,20200501,3,2,83,0,96.43
Uganda,UGA,20200502,3,2,85,0,96.43
Uganda,UGA,20200503,3,2,88,0,96.43
Uganda,UGA,20200504,3,2,89,0,96.43
Uganda,UGA,20200505,3,2,97,0,96.43
Uganda,UGA,20200506,3,2,98,0,92.86
Uganda,UGA,20200507,3,2,98,0,92.86
Uganda,UGA,20200508,3,2,101,0,92.86
Uganda,UGA,20200509,3,2,101,0,92.86
Uganda,UGA,20200510,3,2,116,0,92.86
Uganda,UGA,20200511,3,2,121,0,92.86
Uganda,UGA,20200512,3,2,122,0,92.86
Uganda,UGA,20200513,3,2,126,0,92.86
Uganda,UGA,20200514,3,2,139,0,92.86
Uganda,UGA,20200515,3,2,160,0,92.86
Uganda,UGA,20200516,3,2,203,0,92.86
Uganda,UGA,20200517,3,2,227,0,92.86
Uruguay,URY,20200402,3,2,341,2,88.1
Uruguay,URY,20200403,3,2,359,4,88.1
Uruguay,URY,20200404,3,2,371,4,88.1
Uruguay,URY,20200405,3,2,390,5,88.1
Uruguay,URY,20200406,3,2,407,6,88.1
Uruguay,URY,20200407,3,2,411,6,88.1
Uruguay,URY,20200408,3,2,417,7,88.1
Uruguay,URY,20200409,3,2,426,7,88.1
Uruguay,URY,20200410,3,2,433,7,88.1
Uruguay,URY,20200411,3,2,446,7,88.1
Uruguay,URY,20200412,3,2,453,7,88.1
United States,USA,20200315,3,2,2951,57,40.48
United States,USA,20200316,3,2,3774,69,54.76
United States,USA,20200317,3,2,4661,85,59.52
United States,USA,20200318,3,2,6427,108,59.52
United States,USA,20200319,3,2,9415,150,70.24
United States,USA,20200320,3,2,14250,150,70.24
United States,USA,20200321,3,2,19624,260,72.14
United States,USA,20200322,3,2,26747,340,72.14
United States,USA,20200323,3,2,35206,471,72.14
United States,USA,20200324,3,2,46442,590,72.14
United States,USA,20200325,3,2,55231,801,72.14
United States,USA,20200326,3,2,69194,1050,72.14
United States,USA,20200327,3,2,85991,1296,72.14
United States,USA,20200328,3,2,104686,1707,72.14
United States,USA,20200329,3,2,124665,2191,72.14
United States,USA,20200330,3,2,143025,2509,72.14
United States,USA,20200331,3,2,164620,3170,72.14
United States,USA,20200401,3,2,189618,4079,72.14
United States,USA,20200402,3,2,216721,5138,72.14
United States,USA,20200403,3,2,245540,6053,72.14
United States,USA,20200404,3,2,277965,7157,72.14
United States,USA,20200405,3,2,312237,8501,72.14
United States,USA,20200406,3,2,337635,9647,72.14
United States,USA,20200407,3,2,368196,10989,72.14
United States,USA,20200408,3,2,398809,12895,72.14
United States,USA,20200409,3,2,432132,14817,72.14
United States,USA,20200410,3,2,466033,16690,72.14
United States,USA,20200411,3,2,501560,18777,72.14
United States,USA,20200412,3,2,529951,20608,72.14
United States,USA,20200413,3,2,557571,22108,72.14
United States,USA,20200414,3,2,582594,23649,72.14
United States,USA,20200415,3,2,609516,26057,72.14
United States,USA,20200416,3,2,639664,30985,72.14
United States,USA,20200417,3,2,671331,33284,72.14
United States,USA,20200418,3,2,702164,37054,72.14
United States,USA,20200419,3,2,735086,38910,72.14
United States,USA,20200420,3,2,759687,40682,72.14
United States,USA,20200421,3,2,787752,42539,72.14
United States,USA,20200422,3,2,825041,45063,72.14
United States,USA,20200423,3,2,842629,46784,72.14
United States,USA,20200424,3,2,869172,49963,72.14
United States,USA,20200425,3,2,890524,51017,72.14
United States,USA,20200426,3,2,939053,53189,72.14
United States,USA,20200427,3,2,965910,54876,72.14
United States,USA,20200428,3,2,988451,56245,72.14
United States,USA,20200429,3,2,1012583,58355,72.14
United States,USA,20200430,3,2,1039909,60966,72.14
United States,USA,20200501,3,2,1069826,63006,72.14
United States,USA,20200502,3,2,1103781,65068,72.14
United States,USA,20200503,3,2,1133069,66385,72.14
United States,USA,20200504,3,2,1158041,67682,72.14
United States,USA,20200505,3,2,1180634,68934,72.14
United States,USA,20200506,3,2,1204475,71078,72.14
United States,USA,20200507,3,2,1228603,73431,72.14
United States,USA,20200508,3,2,1256972,75670,72.14
United States,USA,20200509,3,2,1283929,77180,72.14
United States,USA,20200510,3,2,1309541,78794,72.14
United States,USA,20200511,3,2,1329799,79528,72.14
United States,USA,20200512,3,2,1347916,80684,72.14
United States,USA,20200513,3,2,1369964,82387,72.14
United States,USA,20200514,3,2,1390746,84133,72.14
United States,USA,20200515,3,2,1417889,85906,72.14
United States,USA,20200516,3,2,1443397,87568,72.14
United States,USA,20200517,3,2,1467884,88754,72.14
United States,USA,20200518,3,2,1486757,89562,72.14
United States,USA,20200519,3,2,1508598,90353,72.14
United States,USA,20200520,3,2,1528568,91921,72.14
Uzbekistan,UZB,20200327,3,2,83,0,95.24
Uzbekistan,UZB,20200328,3,2,104,0,95.24
Uzbekistan,UZB,20200329,3,2,133,1,95.24
Uzbekistan,UZB,20200330,3,2,145,1,95.24
Uzbekistan,UZB,20200331,3,2,149,2,95.24
Uzbekistan,UZB,20200401,3,2,173,2,95.24
Uzbekistan,UZB,20200402,3,2,187,2,95.24
Uzbekistan,UZB,20200403,3,2,190,2,95.24
